trial,auc,ks,composite,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample,xgb_min_child_weight,xgb_gamma,xgb_lambda,xgb_alpha,lr_c,w_xgb
85,0.767983946435573,0.4017766527977514,0.5848802996166622,5,0.03334783901556764,0.7452310782727093,0.7680826008000999,11,4.067459386722033,0.011056585481109181,0.006206821936367056,0.3306530276050183,0.8208320061082665
86,0.7628270767359132,0.39587415913160867,0.579350617933761,3,0.04061953178563738,0.6549187554393856,0.7976271573588215,18,2.150628069036673,0.0010472410369781896,0.0015906734092148828,3.571163537260945,0.32640164299327773
87,0.760647092103268,0.3942793897321044,0.5774632409176862,7,0.16386921198193669,0.765131785632226,0.7515586775594371,13,4.274913034831978,5.200540406942628,0.003053836484898485,0.014001691143063596,0.2522347914201321
88,0.7680996691632496,0.4063528716046595,0.5872262703839546,4,0.044290195273536295,0.6730328073934879,0.9944606343119355,15,3.404463096267669,8.250136516147938,0.01594838417433737,0.20196401817343196,0.6078290642018842
89,0.7666378890571388,0.4031420473938841,0.5848899682255114,3,0.050745615894409256,0.6202198378358865,0.9099460327129733,15,2.3137163613189324,0.02106753829512813,0.0255179659240411,0.19411327360328492,0.5257783389061275
90,0.7658827857349444,0.40499796385888487,0.5854403747969146,6,0.06660103305769627,0.6373829980123545,0.9936082846072127,17,3.381767547806301,7.815643805327487,0.023601782006122684,1.2809988004135862,0.46851706214052735
91,0.7682908537966072,0.40442080858291923,0.5863558311897632,4,0.04690031610821757,0.6402748680074652,0.9827618176379564,15,1.9423036655362602,4.0380117798086514,0.015987052606227854,0.7981967763997126,0.5898842324384135
92,0.7675791729370686,0.40478013349693714,0.5861796532170028,4,0.044762979781986165,0.6710682284102313,0.9443791452173345,16,3.0362075494659138,9.699552668089785,0.03833456241286541,1.823128087793942,0.5585587192058201
93,0.7682971047164331,0.40499678380990617,0.5866469442631697,4,0.0604376179401348,0.9039874477148431,0.9118131882088428,19,2.6484411598811683,0.0870737966044059,0.01905658702357613,0.031931760941140336,0.6095920719744896
94,0.7685381464191413,0.40086499816647103,0.5847015722928062,4,0.05327342028902472,0.7838491370410329,0.8757182650987371,19,2.6941206005053466,6.040804231125047,0.012913919219787877,0.00017402861633889754,0.6111225984967799
95,0.7667968616931388,0.4027257016226119,0.5847612816578753,4,0.049098145436400877,0.655936578709382,0.962263529514895,14,3.2272346763268964,0.09672545240699486,9.733098800678789,5.302736266576563,0.4877983052856891
96,0.7649032894199259,0.4006233998368861,0.582763344628406,4,0.03872694917525381,0.9566283049897247,0.9078309349133763,15,3.824456909084776,0.046273329122928135,0.01782858966394852,0.025431389054571533,0.37313740869205747
97,0.7639599014904018,0.40207970273452975,0.5830198021124657,10,0.04397069953176245,0.6804304876205832,0.9521921004118329,19,1.6431083760707463,0.0016940110366035503,0.029592530020722034,8.933278864120457,0.5228397727962464
98,0.7642953304126008,0.3992838883905223,0.5817896094015615,8,0.0584893639909373,0.6661795210222597,0.9887426653826016,16,3.6154915646559806,3.125139760017048,0.05940870396063291,1.7452585517360448,0.4468136879458993
99,0.7676502820205734,0.4032496099715475,0.5854499459960605,4,0.0418930075518164,0.9068486407615044,0.9355694223647442,14,4.699277120833458,2.3435512837661374,0.01979398935634504,0.05147172203136593,0.5663335351139596
